ID,Pregunta,Opción A,Opción B,Opción C,Opción D,Respuesta Correcta,Tema,Estado,Tiene Explicación
"b9247a6d","Si se activa la opción ""Mantener líneas juntas"" en un párrafo:","El párrafo se convierte en texto de una sola línea","Se evita que el párrafo se divida entre dos páginas","Se evita que el párrafo se edite","El texto no admite justificación",B,Word365,tech_bad_answer,Sí
"1b0baa01","Indica si alguna de las siguientes respuestas no se encuentra entre las opciones de búsqueda disponibles en el cuadro de diálogo Buscar y reemplazar de Word:","Coincidir mayúsculas y minúsculas","Solo palabras completas","Usar caracteres comodín","Todas las respuestas anteriores están disponibles en las opciones de búsqueda disponibles en la herramienta de Buscar y Reemplazar.",D,Word365,tech_bad_answer_and_explanation,No
"e8d368e4","¿Cuál de las siguientes opciones no aparece como pestaña en la cinta de opciones de Word 365?","Disposición.","Formato.","Correspondencia.","Referencias.",B,Word365,tech_bad_answer_and_explanation,Sí
"bcb2f9be","Señale la respuesta incorrecta en relación con las marcas de párrafo:","Cuando estamos introduciendo texto y llegamos al final de la línea el texto continúa en la siguiente línea, insertándose automáticamente marca de párrafo.","Se inserta una marca de párrafo cuando se pulsa la tecla de INTRO.","Se inserta una marca de párrafo cuando se pulsa la tecla de retorno de carro.","Un párrafo es el texto comprendido entre dos marcas de párrafo.",A,Word365,tech_bad_answer,Sí
"86ec20fb","Para cerrar un “Encabezamiento de página”, una vez ha escrito y dado formato a todo el contenido, pulse el botón “Cerrar encabezado y pie de página” situado en el grupo “Cerrar” de la pestaña “Encabezado y pie de página”, o haga:","Doble clic en el documento, en una zona fuera del encabezado o el pie de página.","Guardar como.","Guardar documento.","Un solo clic en el documento, en una zona fuera del encabezado o el pie de página.",A,Word365,tech_bad_answer,Sí
"8fb5ea4b","En Word 365, si colocas el cursor dentro de una tabla para ajustar automáticamente el tamaño de las columnas o filas, ¿dónde se encuentra la opción “Autoajustar”?","Dentro de la pestaña Disposición de Tabla dentro de las Herramientas de Tabla.","Dentro de la pestaña Presentación de Herramientas de Tabla.","En la barra de estado.","Dentro de la pestaña Diseño de Página de la cinta de opciones.",A,Word365,tech_bad_answer,Sí
"af0aedca","¿En qué consiste la funcionalidad ""Crear un objeto WordArt""?:","Es la conversión de imágenes en diagrama.","Es la representación gráfica de información e ideas.","En insertar imágenes a partir de un sitio de Internet.","Se trata de aplicar efectos tipográficos concretos a un texto.",D,Word365,tech_bad_answer,Sí
"2db79b93","Una referencia cruzada permite vincular a otras partes del mismo documento. Para crear una referencia cruzada a una tabla como “Tabla 1 Provincias y habitantes” de la segunda página del documento Anexo Word:","No existen referencias cruzadas en Word.","Se inserta la referencia cruzada únicamente desde la pestaña “Revisar” de la “cinta de opciones”.","En primer lugar, hay que crear el elemento al que se está haciendo la referencia cruzada.","En un primer paso se crea la referencia cruzada y en un segundo paso se crea la tabla a la que se hace referencia.",C,Word365,tech_bad_answer,Sí
"57969daa","¿Desde qué grupo de la ficha Referencias se accede al comando “Administrar fuentes”?","Grupo Buscar","Grupo Tabla de contenido","Grupo Citas y bibliografía","Grupo Índice",C,Word365,tech_bad_answer,Sí
"64932671","En Citas y bibliografía, se asigna una fuente con varios campos vacíos. ¿Qué ocurre al generar la bibliografía?","Word inserta la referencia, pero omite los campos vacíos siguiendo el estilo elegido.","Word coloca la fuente, pero con campos en blanco entre corchetes.","Word no muestra la fuente hasta que todos los campos obligatorios estén completos.","Word muestra un error y obliga a completar el formulario.",A,Word365,tech_bad_answer,Sí
"954b14c9","¿Cuál de las siguientes características de Word 365 será la adecuada para enumerar los términos y los temas que se tratan en un documento, así como las páginas en las que aparecen?","Insertar índice","Insertar nota al final","Referencia indexada","Elementos rápidos",A,Word365,verified_by_human,Sí
"2f9ab59f","¿Cuál es la principal diferencia funcional entre las vistas “Diseño de impresión” y “Borrador”?","Borrador muestra imágenes en baja calidad","Diseño de impresión desactiva el panel de navegación","En Borrador no se visualizan saltos de sección, encabezados ni pies de página","Borrador permite aplicar estilos pero no guardarlos",C,Word365,verified_by_human,Sí
"e312617e","En el panel “Editor”, la sugerencia de “Claridad” se refiere a:","El nivel de accesibilidad para lectores de pantalla.","La estructura y claridad del texto, no a la gramática pura.","La legibilidad de las fuentes tipográficas usadas.","La cantidad de comentarios activos en el documento.",B,Word365,verified_by_human,Sí
"d2c74049","En Word 365, ¿qué opción permite insertar un índice dinámico que se actualiza automáticamente al agregar o modificar títulos?","Numeración de líneas","Tabla de figuras","Indicadores de referencia","Tabla de contenido",D,Word365,verified_by_human,Sí
"c3fea377","¿Cómo se puede insertar una tabla de contenido en un documento de Word 365?","Haciendo clic en ""Diseño"" y luego en ""Tabla de contenido"".","Haciendo clic en ""Insertar"" y luego en ""Tabla"".","Haciendo clic en ""Referencias"" y luego en ""Tabla de contenido"".","Haciendo clic en ""Archivo"" y luego en ""Tabla de contenido"".",C,Word365,verified_by_human,Sí
"4c6272d1","Un alumno afirma que, si cambia un texto marcado con un estilo título 1, la entrada en la tabla de contenido se actualiza automáticamente. ¿Qué le responderías?","Es correcto: el índice actualiza el texto en tiempo real.","La actualización depende del modo Vista Lectura.","Solo ocurre si el índice fue generado como manual.","Es falso: la tabla de contenido se actualiza manualmente, no automáticamente.",D,Word365,verified_by_human,Sí
"1cb5cb8f","El control de cambios en Word:","Se activa de forma automática en todo documento nuevo.","Bloquea el documento para que no pueda editarse.","Registra ediciones y permite mostrarlas u ocultarlas, incluso aceptarlas o rechazarlas.","Funciona solo en archivos PDF.",C,Word365,verified_by_human,Sí
"742fc821","En el cuadro de diálogo Zoom, la opción “Ancho de página” realiza lo siguiente:","Ajusta la página completa a la pantalla, incluyendo márgenes.","Ajusta únicamente el ancho del área de trabajo para que el texto ocupe todo el espacio horizontal.","Ajusta el documento al 100 %.","Ajusta el documento para mostrar varias páginas a la vez.",B,Word365,verified_by_human,Sí
"f87cb2e1","¿Qué pestaña de Microsoft Word 365 debemos desplegar para utilizar la herramienta ""Contar palabras""?:","La pestaña “Diseño”.","La pestaña “Referencias”.","La pestaña “Revisar”.","La pestaña “Vista”.",C,Word365,verified_by_human,No
"44a3577d","En el panel del Editor (grupo Revisión), el “Puntaje del Editor” se basa en:","El número de errores ortográficos corregidos.","La combinación de ortografía, gramática y claridad según el análisis del documento.","El número total de páginas y palabras del documento.","El idioma establecido en la interfaz de Word.",B,Word365,verified_by_human,Sí
"a970db9f","¿Cuál es la diferencia entre “Cuadro de texto enriquecido” y “Cuadro de texto sin formato” en controles de contenido?","El sin formato es editable, el otro no","El enriquecido permite aplicar formato (negrita, color), el otro no","No existe diferencia funcional","El enriquecido permite imágenes, el otro no",B,Word365,verified_microsoft_sources,Sí
"3ca2b24e","¿Qué ocurre si se selecciona la opción “Inspeccionar documento” en la ficha “Archivo”?","Se comprueba la compatibilidad del documento con versiones anteriores de Word.","Se genera un informe sobre el uso de estilos en el documento.","Comprueba la información personal para proteger la privacidad","Se verifica la ortografía y gramática del documento.",C,Word365,verified_microsoft_sources,Sí
"5c8333f7","¿Qué implica el uso de la opción “Cerrar sesión” en la ficha Archivo cuando trabajas en un archivo de Word 365?","Te desconecta del documento, pero no del programa","Desactiva la cuenta de Microsoft, pero no afecta a la funcionalidad del programa","Cierra la sesión de la cuenta de Microsoft asociada, afectando las opciones de sincronización y almacenamiento en la nube","Cierra Word completamente y elimina todos los documentos abiertos",C,Word365,verified_microsoft_sources,Sí
"396e11f2","Si usas “Archivo → Imprimir → Imprimir solo comentarios”, ¿qué parte del documento se imprimirá realmente?","Solo los comentarios en un resumen aparte","Los comentarios insertados como notas al pie","El contenido con los comentarios a la derecha","No se imprimirá nada, solo se previsualiza",A,Word365,verified_microsoft_sources,Sí
"6976e1b2","Necesitamos imprimir sólo algunas páginas de un documento de Word, concretamente desde la página 3 al 5, y desde la 17 hasta el final ¿Indica el intervalo correcto que debemos escribir?","3/5, 17","3-5, 17+","3-5, 17-","3,5, 17",C,Word365,verified_microsoft_sources,Sí
"a82a0621","Las secciones en Word son una importante característica del programa ¿Cuál de las siguientes opciones corresponde con una de ellas?","Cambiar la orientación solo en algunas páginas.","Añadir formato de columnas a unas páginas y mantener formato normal en el resto.","Utilizar diferentes tipos de numeración de página.","Todas las respuestas anteriores son correctas.",D,Word365,verified_microsoft_sources,Sí
"61a80c12","Observe la figura. Necesitamos contar las líneas de un documento y que en cada página se reinicie esta numeración automáticamente ¿Qué comando existe en Word para realizar esta tarea?","Numeración y viñetas","Numeración de páginas","Numeración de líneas con la opción de reinicio en cada página activada","Las dos primeras respuestas son correctas",C,Word365,verified_microsoft_sources,Sí
"acd1dc06","En el cuadro de diálogo “Fuente” de Word 365, dentro de la pestaña “Avanzado”, al aplicar un “Espaciado expandido” de 3 puntos, ¿qué efecto concreto se produce sobre el texto seleccionado?","La fuente aumenta 3 puntos de tamaño de manera proporcional.","Cada carácter queda separado 3 puntos adicionales respecto al siguiente.","Se desplaza el bloque de texto completo 3 puntos hacia la derecha.","El texto se muestra con un interlineado adicional de 3 puntos.",B,Word365,verified_microsoft_sources,Sí
"3a4c8f24","Word incluye varias posibilidades asociadas al comando Compartir del menú Archivo. Indica cuál de las siguientes respuestas no corresponde con ninguna de ellas:","Correo electrónico","Publicar en Web","Presentar en línea","Compartir con otras personas",B,Word365,verified_microsoft_sources,Sí
"e46acb7e","¿Cuál de las características de Word 365 será la adecuada para enumerar los términos y los temas que se tratan en un documento, así como las páginas en las que aparecen?","Insertar índice.","Insertar nota al final.","Referencia indexada.","Elementos rápidos.",A,Word365,verified_microsoft_sources,Sí
